,time,open,high,low,close,tick_volume,spread,real_volume,prevClose,high-Low,high-PC,low-PC,TrueRange,atr,PP,PLow,PHigh,upperBand,lowerBand,ema,adx,vwap,superTrend,signal
0,2022-10-21 19:00:00,1650.89,1654.02,1648.28,1650.38,2312,0,0,,5.740000000000009,,,5.740000000000009,,1650.8933333333334,1647.7666666666669,1653.506666666667,,,,,1650.8933333333334,True,NoPosition
1,2022-10-21 19:15:00,1650.42,1651.04,1647.44,1648.86,2194,0,0,1650.38,3.599999999999909,0.6599999999998545,2.9400000000000546,3.599999999999909,,1649.1133333333335,1647.186666666667,1650.7866666666669,,,,,1650.0266400355085,True,NoPosition
2,2022-10-21 19:30:00,1649.08,1652.18,1648.66,1651.1,1958,0,0,1648.86,3.519999999999982,3.3200000000001637,0.1999999999998181,3.519999999999982,,1650.6466666666668,1649.1133333333335,1652.6333333333334,,,,,1650.2144513201322,True,NoPosition
3,2022-10-21 19:45:00,1651.12,1653.64,1650.98,1651.5,1665,0,0,1651.1,2.660000000000082,2.540000000000191,0.11999999999989086,2.660000000000082,,1652.04,1650.4399999999998,1653.1,,,,,1650.588364292451,True,NoPosition
4,2022-10-21 20:00:00,1651.54,1654.46,1651.54,1652.52,1453,0,0,1651.5,2.9200000000000728,2.9600000000000364,0.03999999999996362,2.9600000000000364,,1652.8400000000001,1651.2200000000003,1654.1400000000003,,,,,1650.9297989285467,True,NoPosition
5,2022-10-21 20:15:00,1652.56,1653.0,1650.8,1651.22,1475,1,0,1652.52,2.2000000000000455,0.4800000000000182,1.7200000000000273,2.2000000000000455,,1651.6733333333334,1650.3466666666668,1652.5466666666669,,,,,1651.028986162612,True,NoPosition
6,2022-10-21 20:30:00,1651.27,1653.36,1651.26,1652.28,1329,0,0,1651.22,2.099999999999909,2.1399999999998727,0.03999999999996362,2.1399999999998727,,1652.3,1651.24,1653.34,,,,,1651.1653641207815,True,NoPosition
7,2022-10-21 20:45:00,1652.28,1653.74,1651.6,1651.92,1173,3,0,1652.28,2.1400000000001,1.4600000000000364,0.6800000000000637,2.1400000000001,,1652.42,1651.1000000000001,1653.2400000000002,,,,,1651.2739036802125,True,NoPosition
8,2022-10-21 21:00:00,1651.96,1653.76,1651.5,1651.94,1192,3,0,1651.92,2.259999999999991,1.8399999999999181,0.42000000000007276,2.259999999999991,,1652.4000000000003,1651.0400000000006,1653.3000000000006,,,,,1651.3649013626195,True,NoPosition
9,2022-10-21 21:15:00,1651.86,1652.72,1651.14,1652.42,1025,0,0,1651.94,1.5799999999999272,0.7799999999999727,0.7999999999999545,1.5799999999999272,2.8799999999999955,1652.0933333333335,1651.466666666667,1653.0466666666669,,1647.146666666667,,,1651.4122291244084,True,NoPosition
10,2022-10-21 21:30:00,1652.4,1654.48,1652.4,1654.08,1173,0,0,1652.42,2.0799999999999272,2.0599999999999454,0.01999999999998181,2.0799999999999272,2.5139999999999874,1653.6533333333334,1652.8266666666668,1654.9066666666668,,1649.0556666666669,,,1651.567330619309,True,NoPosition
11,2022-10-21 21:45:00,1654.02,1654.78,1653.18,1653.8,1347,1,0,1654.08,1.599999999999909,0.7000000000000455,0.8999999999998636,1.599999999999909,2.313999999999987,1653.92,1653.0600000000002,1654.66,,1649.5890000000002,,,1651.7405403731236,True,NoPosition
12,2022-10-21 22:00:00,1653.96,1655.09,1653.12,1654.9,1262,6,0,1653.8,1.9700000000000273,1.2899999999999636,0.6800000000000637,1.9700000000000273,2.158999999999992,1654.3700000000001,1653.6500000000003,1655.6200000000003,,1650.4115000000004,,,1651.9102089511541,True,NoPosition
13,2022-10-21 22:15:00,1654.86,1657.14,1654.07,1656.1,978,7,0,1654.9,3.0700000000001637,2.240000000000009,0.8300000000001546,3.0700000000001637,2.2,1655.7699999999998,1654.3999999999994,1657.4699999999996,,1651.0999999999995,,,1652.0940264251396,True,NoPosition
14,2022-10-21 22:30:00,1656.12,1656.14,1653.91,1654.42,892,5,0,1656.1,2.230000000000018,0.040000000000190994,2.189999999999827,2.230000000000018,2.126999999999998,1654.8233333333335,1653.506666666667,1655.736666666667,,1651.0999999999995,,,1652.2076414037708,True,NoPosition
15,2022-10-21 22:45:00,1654.42,1655.44,1654.34,1655.27,746,1,0,1654.42,1.1000000000001364,1.0199999999999818,0.08000000000015461,1.1000000000001364,2.0170000000000075,1655.0166666666664,1654.5933333333328,1655.693333333333,,1651.5678333333328,,,1652.3021454556388,True,NoPosition
16,2022-10-21 23:00:00,1655.16,1655.66,1654.04,1654.97,520,9,0,1655.27,1.6200000000001182,0.39000000000010004,1.2300000000000182,1.6200000000001182,1.9650000000000318,1654.89,1654.1200000000001,1655.7400000000002,,1651.5678333333328,,,1652.3614423783083,True,NoPosition
17,2022-10-21 23:15:00,1654.98,1655.62,1654.47,1654.6,300,9,0,1654.97,1.1499999999998636,0.6499999999998636,0.5,1.1499999999998636,1.866000000000008,1654.8966666666668,1654.1733333333336,1655.3233333333335,,1651.5678333333328,,,1652.394519149923,True,NoPosition
18,2022-10-21 23:30:00,1654.68,1656.89,1654.39,1656.16,375,9,0,1654.6,2.5,2.290000000000191,0.209999999999809,2.5,1.890000000000009,1655.8133333333335,1654.736666666667,1657.236666666667,,1651.9016666666669,,,1652.4493805183504,True,NoPosition
19,2022-10-21 23:45:00,1656.15,1657.77,1655.95,1657.33,359,9,0,1656.16,1.8199999999999363,1.6099999999999,0.21000000000003638,1.8199999999999363,1.91400000000001,1657.0166666666667,1656.2633333333333,1658.0833333333333,,1653.3923333333332,,,1652.5184826646437,True,NoPosition
20,2022-10-24 01:00:00,1661.34,1663.42,1657.52,1659.06,1055,0,0,1657.33,5.900000000000091,6.0900000000001455,0.19000000000005457,6.0900000000001455,2.315000000000032,1660.0,1656.58,1662.48,,1653.3923333333332,,,1660.0,True,NoPosition
21,2022-10-24 01:15:00,1659.18,1660.68,1657.3,1660.09,991,7,0,1659.06,3.380000000000109,1.6200000000001182,1.759999999999991,3.380000000000109,2.493000000000052,1659.3566666666666,1658.033333333333,1661.4133333333332,,1654.293833333333,,,1659.68839524275,True,NoPosition
22,2022-10-24 01:30:00,1660.08,1661.91,1659.44,1661.2,811,9,0,1660.09,2.4700000000000273,1.8200000000001637,0.6499999999998636,2.4700000000000273,2.5430000000000517,1660.8500000000001,1659.7900000000002,1662.2600000000002,,1655.9755,,,1660.0181332399952,True,NoPosition
23,2022-10-24 01:45:00,1661.2,1661.24,1658.66,1659.22,731,9,0,1661.2,2.5799999999999272,0.03999999999996362,2.5399999999999636,2.5799999999999272,2.494000000000028,1659.7066666666667,1658.1733333333334,1660.7533333333333,,1655.9755,,,1659.9546767001113,True,NoPosition
