,open_datetime,open_price,order_type,volume,sl,tp,close_datetime,close_price,profit,status,pnl
0,10/26/2022 17:00,1670.14,Buy,100,1665.82,1665.82,10/26/2022 17:00,1665.82,-432.00000000001637,closed,14567.999999999984
1,10/27/2022 16:45,1658.37,emaSell,100,1658.25,1658.25,10/27/2022 16:45,1658.25,11.999999999989086,closed,14579.999999999973
2,10/27/2022 17:00,1663.94,Buy,100,1663.5,1663.5,10/27/2022 17:00,1663.5,-44.00000000000546,closed,14535.999999999967
3,10/27/2022 18:00,1663.76,Buy,100,1663.5,1663.5,10/27/2022 18:00,1663.5,-25.99999999999909,closed,14509.999999999967
4,11/1/2022 1:45,1632.7,Sell,100,1633.89,1633.89,11/1/2022 1:45,1633.89,-119.00000000000546,closed,14390.999999999964
5,11/1/2022 2:15,1633.0,Sell,100,1633.89,1633.89,11/1/2022 2:15,1633.89,-89.00000000001,closed,14301.999999999953
6,11/1/2022 9:00,1643.24,emaBuy,100,1649.52,1649.52,11/1/2022 9:00,1649.52,627.9999999999973,closed,14929.999999999949
7,11/1/2022 9:30,1644.8,emaBuy,100,1649.52,1649.52,11/1/2022 9:30,1649.52,472.00000000000273,closed,15401.999999999953
8,11/1/2022 12:30,1649.17,Buy,100,1652.43,1652.43,11/1/2022 12:30,1652.43,325.9999999999991,closed,15727.999999999953
9,11/1/2022 17:00,1644.56,Sell,100,1649.1,1649.1,11/1/2022 17:00,1649.1,-453.99999999999636,closed,15273.999999999956
10,11/1/2022 18:30,1643.6,emaSell,100,1649.1,1649.1,11/1/2022 18:30,1649.1,-550.0,closed,14723.999999999956
11,11/1/2022 19:15,1644.58,emaSell,100,1649.1,1649.1,11/1/2022 19:15,1649.1,-451.9999999999982,closed,14271.999999999956
12,11/1/2022 21:00,1650.93,Buy,100,1653.38,1653.38,11/1/2022 21:00,1653.38,245.00000000000455,closed,14516.999999999962
13,11/2/2022 1:15,1647.02,Buy,100,1653.38,1653.38,11/2/2022 1:15,1653.38,636.0000000000127,closed,15152.999999999975
14,11/2/2022 3:00,1647.8,Buy,100,1653.38,1653.38,11/2/2022 3:00,1653.38,558.0000000000155,closed,15710.999999999989
15,11/2/2022 5:30,1650.14,Buy,100,1653.38,1653.38,11/2/2022 5:30,1653.38,324.0000000000009,closed,16034.99999999999
16,11/2/2022 9:15,1651.05,Buy,100,1653.38,1653.38,11/2/2022 9:15,1653.38,233.00000000001546,closed,16268.000000000007
17,11/2/2022 18:00,1647.42,emaSell,100,1648.66,1648.66,11/2/2022 18:00,1648.66,-124.00000000000091,closed,16144.000000000005
18,11/2/2022 21:00,1664.28,Buy,100,1664.82,1664.82,11/2/2022 21:00,1664.82,53.99999999999636,closed,16198.000000000002
19,11/2/2022 22:00,1648.34,emaSell,100,1633.72,1633.72,11/2/2022 22:00,1633.72,1461.999999999989,closed,17659.999999999993
20,11/3/2022 1:15,1635.75,Sell,100,1633.72,1633.72,11/3/2022 1:15,1633.72,202.99999999999727,closed,17862.99999999999
21,11/3/2022 3:15,1633.76,Sell,100,1633.72,1633.72,11/3/2022 3:15,1633.72,3.999999999996362,closed,17866.999999999985
22,11/3/2022 5:45,1636.37,Sell,100,1619.5,1619.5,11/3/2022 5:45,1619.5,1686.999999999989,closed,19553.999999999975
23,11/4/2022 1:15,1629.65,Sell,100,1629.88,1629.88,11/4/2022 1:15,1629.88,-23.00000000000182,closed,19530.99999999997
24,11/4/2022 2:15,1629.68,Sell,100,1629.88,1629.88,11/4/2022 2:15,1629.88,-20.000000000004547,closed,19510.999999999967
25,11/4/2022 4:15,1629.71,Sell,100,1631.5,1631.5,11/4/2022 4:15,1631.5,-178.99999999999636,closed,19331.99999999997
26,11/4/2022 5:30,1636.53,emaBuy,100,1678.39,1678.39,11/4/2022 5:30,1678.39,4186.000000000013,closed,23517.999999999985
27,11/8/2022 10:45,1666.94,Sell,100,1669.04,1669.04,11/8/2022 10:45,1669.04,-209.9999999999909,closed,23307.999999999993
28,11/8/2022 11:30,1671.12,Buy,100,1712.66,1712.66,11/8/2022 11:30,1712.66,4154.000000000019,closed,27462.00000000001
29,11/8/2022 13:00,1671.76,Buy,100,1712.66,1712.66,11/8/2022 13:00,1712.66,4090.000000000009,closed,31552.000000000022
30,11/11/2022 1:30,1754.24,Buy,100,1752.49,1752.49,11/11/2022 1:30,1752.49,-175.0,closed,31377.000000000022
31,11/11/2022 4:45,1752.84,Buy,100,1758.68,1758.68,11/11/2022 4:45,1758.68,584.0000000000146,closed,31961.000000000036
